Артикул;Наименование;Ширина;Длина;
4.09963E+12;Полотенце махровое RIO UNI VOLLFARBIG СЕРО-КОРИЧНЕВЫЙ;50;70;560
4.02163E+12;Полотенце махровое RIO UNI VOLLFARBIG ПЕСОЧНЫЙ;70;140;290
4.02163E+12;Полотенце махровое RIO UNI VOLLFARBIG ПЕСОЧНЫЙ;50;70;190
4.02163E+12;Полотенце махровое RIO WEISSGRUNDIG БЕЛЫЙ (ПЕСОЧНЫЙ);70;140;1890
4.02145E+12;Полотенце махровое RIO WEISSGRUNDIG БЕЛЫЙ (ПЕСОЧНЫЙ);50;70;1490
8.9E+12;Полотенце махровое SPANY INTERIO STRIPEL;70;140;2290
8.90001E+12;Полотенце махровоеSPANY INTERIO STRIPEL;50;90;3800
4.02163E+12;Полотенце махровое BERLIN UNI ТЕМНО-СИНИЙ;70;140;3990
4.021E+12;Полотенце махровое BERLIN UNI АНТРАЦИТ;50;70;2290
4.02163E+13;Полотенце махровое BERLIN UNI АНТРАЦИТ;70;140;3690
4.02163E+12;Полотенце махровое BERLIN UNI ШОКОЛАД;50;70;3990
4.02162E+12;Полотенце махровое BERLIN UNI ШОКОЛАД;70;140;130
4.02163E+12;Полотенце махровое  BERLIN UNI БЕЖЕВЫЙ;50;70;130
4.09993E+12;Полотенце махровое  BERLIN UNI БЕЖЕВЫЙ;70;140;130
4.02163E+12;Полотенце махровое BERLIN UNI СЕРО-КОРИЧНЕВЫЙ;50;70;130
4.022E+12;Полотенце махровое BERLIN UNI СЕРО-КОРИЧНЕВЫЙ;70;140;130
4.02163E+12;Полотенце махровое BERLIN UNI БИРЮЗА;50;70;145
4.02145E+12;Полотенце махровое BERLIN UNI БИРЮЗА;70;140;145
4.02163E+12;Полотенце махровое BERLIN UNI ЗЕЛЕНЫЙ;50;70;145
4.02163E+12;Полотенце махровое BERLIN UNI ЗЕЛЕНЫЙ;70;140;145
4.02163E+12;Полотенце махровоеBERLIN UNI КРАСНЫЙ;50;70;145
4.02162E+12;Полотенце махровоеBERLIN UNI КРАСНЫЙ;70;140;165
4.02163E+12;Полотенце махровоеBERLIN UNI ЖЕЛТЫЙ;50;70;165
4102E+12;Полотенце махровоеBERLIN UNI ЖЕЛТЫЙ;70;140;165
80292124;Плед Scotland;140;200;165
4.09992E+12;Плед в ассортименте;100;150;175
4.09945E+12;Плед Inspiration;140;200;175
4.09345E+12;Плед;200;200;175
1.19446E+11;Плед флисовый;170;200;175
1.19445E+11;Плед Inspiration сиреневый;140;200;175
1.12245E+11;Плед;130;170;175
1.12245E+11;Плед;140;200;180
1.13337E+11;Плед Check;140;200;185
1.13337E+11;Плед Kelly;120;150;185
1.13356E+12;Плед Kelly;140;200;185
1.13356E+12;Плед Звезды;140;200;185
1.13345E+12;Плед Клетка;150;200;185
1.13889E+12;Плед Inspiration коралловый;140;200;185
1.1389E+12;Плед Palermo;140;200;185
1.1389E+12;Плед;220;240;185
